ID;DB;Validate;Provision;Snr;Tear down;Evaluate
1;mongo;7s;2m 5s;4m 48s;2m 19s;46s
2;mongo;8s;2m 26s;4m 18s;2m;38s
3;mongo;6s;2m 14s;4m 16s;2m 6s;30s
4;mongo;10s;5m 15s;4m 36s;2m 17s;34s
5;mongo;4s;1m 53s;4m 53s;2m 3s;41s
6;mongo;6s;1m 52s;4m 43s;2m 4s;33s
7;mysql;5s;1m 52s;7m 5s;1m 55s;29s
8;mongo;8s;1m 53s;4m 44s;2m 8s;40s
9;mongo;5s;2m 25s;4m 37s;1m 50s;30s
10;mongo;7s;2m 23s;4m 12s;2m 18s;29s
11;mysql;5s;2m 10s;5m 46s;3m 34s;37s
12;mysql;7s;2m 31s;5m 40s;2m 7s;34s
13;mongo;4s;4m 41s;3m 48s;2m 16s;28s
14;mongo;5s;2m 31s;4m 58s;2m 3s;40s
15;mysql;9s;2m 35s;6m 3s;3m 42s;36s
16;mysql;6s;1m 52s;6m 6s;1m 59s;35s
17;mongo;8s;1m 53s;4m 35s;2m 4s;29s
18;mongo;10s;2m 12s;4m 9s;2m 23s;29s
19;mongo;8s;2m 16s;4m 25s;2m;35s
20;mysql;8s;2m 52s;6m 59s;2m 1s;37s
21;mysql;7s;2m 21s;5m 4s;2m 17s;35s
22;mysql;8s;2m 15s;5m 9s;2m 9s;29s
23;mongo;4s;2m 20s;4m 54s;2m 4s;32s
24;mongo;9s;2m 15s;3m 57s;2m;28s
25;mysql;10s;2m 30s;5m 13s;2m 5s;28s
26;mysql;8s;2m 43s;5m 46s;2m 6s;34s
27;mongo;6s;2m 4s;4m 22s;2m 3s;45s
28;mongo;7s;2m 29s;4m 51s;2m 19s;27s
29;mysql;8s;1m 53s;5m 45s;2m 10s;41s
30;mongo;9s;2m 36s;4m 21s;2m 15s;28s
31;mongo;5s;2m 38s;4m 19s;2m 12s;32s
32;mongo;6s;2m 19s;4m 45s;3m 39s;34s
33;mysql;5s;1m 59s;5m 55s;2m 1s;43s
